Property_ID,Locality,Dimension,Plot_Area_sqft,Distance_to_8th_Mile_km,Distance_to_Sapthagiri_College_km,Facing,Road_Width_ft,Approval_Authority,Price_in_Lakhs_INR
BLR_8M_1271,T Dasarahalli,40x60,2400.0,3.97,0.08,North,30.0,DC Conversion,116.05
BLR_8M_1272,T Dasarahalli,30x40,1200.0,2.26,3.78,West,20.0,DC Conversion,53.13
BLR_8M_1273,8th Mile Junction,50x80,,2.44,4.04,North,20.0,BBMP,267.35
BLR_8M_1274,8th Mile Junction,40x60,2400.0,2.35,1.75,West,60.0,DC Conversion,133.82
BLR_8M_1275,Sapthagiri College Surrounding,20x30,600.0,0.84,4.49,East,20.0,DC Conversion,27.02
BLR_8M_1276,Mallasandra,40x60,2400.0,1.02,3.84,North,20.0,DC Conversion,115.27
BLR_8M_1277,Bagalakunte,30x40,1200.0,3.92,1.39,North,30.0,BMRDA,74.78
BLR_8M_1278,Chikkasandra,30x40,1200.0,0.91,1.88,North,20.0,BBMP,80.11
BLR_8M_1279,8th Mile Junction,50x80,4000.0,4.41,4.22,North,30.0,BBMP,277.24
BLR_8M_1280,Bagalakunte,30x40,1200.0,1.79,4.13,South,30.0,BBMP,81.05
BLR_8M_1281,Sapthagiri College Surrounding,20x30,600.0,2.59,1.58,North,30.0,BMRDA,33.89
BLR_8M_1282,Chikkasandra,40x60,2400.0,4.24,0.85,West,40.0,DC Conversion,129.33
BLR_8M_1283,8th Mile Junction,20x30,,3.14,3.67,South,30.0,BDA,39.92
BLR_8M_1284,Mallasandra,30x40,1200.0,3.81,0.14,East,20.0,DC Conversion,53.99
BLR_8M_1285,Bagalakunte,40x60,2400.0,0.49,2.04,South,60.0,BMRDA,137.65
BLR_8M_1286,T Dasarahalli,40x60,2400.0,4.31,0.3,East,40.0,BMRDA,149.0
BLR_8M_1287,Bagalakunte,20x30,600.0,4.27,0.13,West,30.0,DC Conversion,27.91
BLR_8M_1288,8th Mile Junction,50x80,4000.0,1.75,3.5,East,30.0,BDA,322.87
BLR_8M_1289,Sapthagiri College Surrounding,30x40,1200.0,2.77,2.49,West,60.0,BDA,105.16
BLR_8M_1290,8th Mile Junction,30x40,1200.0,2.87,2.15,East,20.0,BBMP,84.2
BLR_8M_1291,T Dasarahalli,40x60,2400.0,4.47,3.43,East,,BBMP,196.17
BLR_8M_1292,8th Mile Junction,30x40,1200.0,1.78,1.03,East,30.0,BBMP,87.11
BLR_8M_1293,8th Mile Junction,20x30,600.0,2.93,3.32,East,40.0,BBMP,45.23
BLR_8M_1294,T Dasarahalli,20x30,600.0,4.41,1.03,East,,BBMP,43.26
BLR_8M_1295,Bagalakunte,20x30,600.0,3.09,3.93,East,,BBMP,39.09
BLR_8M_1296,Bagalakunte,30x40,1200.0,0.82,2.43,North,20.0,BBMP,76.79
BLR_8M_1297,Bagalakunte,40x60,2400.0,3.86,0.37,East,60.0,BDA,202.25
BLR_8M_1298,T Dasarahalli,40x60,2400.0,0.06,0.85,East,60.0,BBMP,195.78
BLR_8M_1299,8th Mile Junction,30x40,1200.0,3.33,0.99,East,20.0,BDA,81.99
